,Año,Trimestre,Provincia,Mbps (Media de bajada)
614,2017,3,Neuquén,8.17
615,2017,3,Río Negro,5.49
616,2017,3,Salta,6.13
617,2017,3,San Juan,3.45
618,2017,3,San Luis,3.5
619,2017,3,Santa Cruz,3.61
620,2017,3,Santa Fe,7.79
621,2017,3,Santiago Del Estero,5.18
622,2017,3,Tierra Del Fuego,3.48
623,2017,3,Tucumán,6.39
624,2017,2,Buenos Aires,7.2
625,2017,2,Capital Federal,8.84
626,2017,2,Catamarca,5.1
627,2017,2,Chaco,7.69
628,2017,2,Chubut,3.45
629,2017,2,Córdoba,7.42
630,2017,2,Corrientes,6.79
631,2017,2,Entre Ríos,6.29
632,2017,2,Formosa,6.18
633,2017,2,Jujuy,4.54
634,2017,2,La Pampa,3.32
635,2017,2,La Rioja,5.53
636,2017,2,Mendoza,3.51
637,2017,2,Misiones,7.6
638,2017,2,Neuquén,6.7
639,2017,2,Río Negro,4.74
640,2017,2,Salta,5.76
641,2017,2,San Juan,3.49
642,2017,2,San Luis,3.5
643,2017,2,Santa Cruz,3.6
644,2017,2,Santa Fe,6.84
645,2017,2,Santiago Del Estero,5.06
646,2017,2,Tierra Del Fuego,3.48
647,2017,2,Tucumán,6.09
648,2017,1,Buenos Aires,6.68
649,2017,1,Capital Federal,8.35
650,2017,1,Catamarca,4.97
651,2017,1,Chaco,7.31
652,2017,1,Chubut,3.44
653,2017,1,Córdoba,6.8
654,2017,1,Corrientes,6.43
655,2017,1,Entre Ríos,5.95
656,2017,1,Formosa,5.74
657,2017,1,Jujuy,4.39
658,2017,1,La Pampa,3.22
659,2017,1,La Rioja,5.43
660,2017,1,Mendoza,3.51
661,2017,1,Misiones,7.34
662,2017,1,Neuquén,6.03
663,2017,1,Río Negro,4.45
664,2017,1,Salta,5.34
665,2017,1,San Juan,3.49
666,2017,1,San Luis,3.5
667,2017,1,Santa Cruz,3.59
668,2017,1,Santa Fe,6.28
669,2017,1,Santiago Del Estero,4.95
670,2017,1,Tierra Del Fuego,3.48
671,2017,1,Tucumán,5.88
672,2016,4,Buenos Aires,6.35
673,2016,4,Capital Federal,7.96
674,2016,4,Catamarca,4.89
675,2016,4,Chaco,7.08
676,2016,4,Chubut,3.41
677,2016,4,Córdoba,6.47
678,2016,4,Corrientes,6.24
679,2016,4,Entre Ríos,5.81
680,2016,4,Formosa,5.63
681,2016,4,Jujuy,4.32
682,2016,4,La Pampa,3.19
683,2016,4,La Rioja,5.34
684,2016,4,Mendoza,3.51
685,2016,4,Misiones,7.11
686,2016,4,Neuquén,5.68
687,2016,4,Río Negro,4.37
688,2016,4,Salta,5.22
689,2016,4,San Juan,3.49
690,2016,4,San Luis,3.5
691,2016,4,Santa Cruz,3.56
692,2016,4,Santa Fe,6.04
693,2016,4,Santiago Del Estero,4.87
694,2016,4,Tierra Del Fuego,3.48
695,2016,4,Tucumán,5.73
696,2016,3,Buenos Aires,5.91
697,2016,3,Capital Federal,7.38
698,2016,3,Catamarca,4.73
699,2016,3,Chaco,6.72
700,2016,3,Chubut,3.34
701,2016,3,Córdoba,6.07
702,2016,3,Corrientes,5.96
703,2016,3,Entre Ríos,5.59
704,2016,3,Formosa,5.42
705,2016,3,Jujuy,4.22
706,2016,3,La Pampa,3.14
707,2016,3,La Rioja,5.08
708,2016,3,Mendoza,3.51
709,2016,3,Misiones,6.74
710,2016,3,Neuquén,5.29
711,2016,3,Río Negro,4.16
712,2016,3,Salta,5.05
713,2016,3,San Juan,3.49
714,2016,3,San Luis,3.5
715,2016,3,Santa Cruz,3.54
716,2016,3,Santa Fe,5.68
717,2016,3,Santiago Del Estero,4.67
718,2016,3,Tierra Del Fuego,3.48
719,2016,3,Tucumán,5.54
720,2016,2,Buenos Aires,5.42
721,2016,2,Capital Federal,6.58
722,2016,2,Catamarca,4.36
723,2016,2,Chaco,6.3
724,2016,2,Chubut,3.34
725,2016,2,Córdoba,5.52
726,2016,2,Corrientes,5.6
727,2016,2,Entre Ríos,5.13
728,2016,2,Formosa,5.1
729,2016,2,Jujuy,3.84
730,2016,2,La Pampa,3.15
731,2016,2,La Rioja,4.77
732,2016,2,Mendoza,3.5
733,2016,2,Misiones,6.23
734,2016,2,Neuquén,4.87
735,2016,2,Río Negro,3.98
736,2016,2,Salta,4.75
737,2016,2,San Juan,3.49
738,2016,2,San Luis,3.5
739,2016,2,Santa Cruz,3.5
740,2016,2,Santa Fe,5.14
741,2016,2,Santiago Del Estero,4.31
742,2016,2,Tierra Del Fuego,3.48
743,2016,2,Tucumán,5.2
744,2016,1,Buenos Aires,4.99
745,2016,1,Capital Federal,6.05
746,2016,1,Catamarca,4.2
747,2016,1,Chaco,5.99
748,2016,1,Chubut,3.38
749,2016,1,Córdoba,5.16
750,2016,1,Corrientes,5.37
751,2016,1,Entre Ríos,5.08
752,2016,1,Formosa,4.87
753,2016,1,Jujuy,3.77
754,2016,1,La Pampa,3.05
755,2016,1,La Rioja,4.62
756,2016,1,Mendoza,3.5
757,2016,1,Misiones,6.0
758,2016,1,Neuquén,4.42
759,2016,1,Río Negro,3.83
760,2016,1,Salta,4.74
761,2016,1,San Juan,3.49
762,2016,1,San Luis,3.5
763,2016,1,Santa Cruz,3.48
764,2016,1,Santa Fe,4.9
765,2016,1,Santiago Del Estero,4.17
766,2016,1,Tierra Del Fuego,3.48
767,2016,1,Tucumán,5.0
768,2015,4,Buenos Aires,4.88
769,2015,4,Capital Federal,5.93
770,2015,4,Catamarca,4.12
771,2015,4,Chaco,5.83
772,2015,4,Chubut,3.28
773,2015,4,Córdoba,5.07
774,2015,4,Corrientes,5.26
775,2015,4,Entre Ríos,5.01
776,2015,4,Formosa,4.66
777,2015,4,Jujuy,3.72
778,2015,4,La Pampa,2.94
779,2015,4,La Rioja,4.52
780,2015,4,Mendoza,3.5
781,2015,4,Misiones,5.9
782,2015,4,Neuquén,4.36
783,2015,4,Río Negro,3.77
784,2015,4,Salta,4.67
785,2015,4,San Juan,3.48
786,2015,4,San Luis,3.5
787,2015,4,Santa Cruz,3.48
788,2015,4,Santa Fe,4.81
789,2015,4,Santiago Del Estero,4.09
790,2015,4,Tierra Del Fuego,3.47
791,2015,4,Tucumán,4.88
792,2015,3,Buenos Aires,4.7
793,2015,3,Capital Federal,5.66
794,2015,3,Catamarca,3.88
795,2015,3,Chaco,5.47
796,2015,3,Chubut,3.28
